id,value
id_0,4.567913690201826
id_1,16.451693836557798
id_2,23.754982759635176
id_3,6.947530746827987
id_4,27.78266452046106
id_5,22.345889311582248
id_6,23.186276684408075
id_7,30.23585368770572
id_8,16.612618400424267
id_9,60.13078734726237
id_10,14.155766385754736
id_11,9.496678727082546
id_12,63.42746426336553
id_13,52.89560405334718
id_14,23.379864264724116
id_15,11.70375238705315
id_16,30.737216988502265
id_17,68.55336215175907
id_18,-0.7345238979607549
id_19,17.78240210551248
id_20,42.38570425344651
id_21,69.30695422002384
id_22,9.862178653676295
id_23,18.561204859763325
id_24,14.952101428598064
id_25,40.24166450251106
id_26,14.740472306136077
id_27,73.73555726226124
id_28,7.315715749628462
id_29,56.09247260886266
id_30,21.404132679864954
id_31,7.7912904217257895
id_32,3.0195622395004653
id_33,21.15617686362494
id_34,29.735467475771323
id_35,38.55658819614062
id_36,42.404580192369856
id_37,30.04385363586697
id_38,45.71496477759932
id_39,35.97694155254545
id_40,7.736202531688205
id_41,38.80770904257404
id_42,32.073336860406236
id_43,49.75259851725434
id_44,15.657909223882386
id_45,37.23322990289868
id_46,25.01889170822598
id_47,10.44737322346862
id_48,24.163052996524048
id_49,33.86421556041462
id_50,21.879407543305156
id_51,9.324270655341694
id_52,21.116936126156418
id_53,54.20852801711145
id_54,17.054621563155074
id_55,35.080566993069965
id_56,32.8154075473809
id_57,22.638395316442875
id_58,58.8315560300703
id_59,20.231920847560918
id_60,13.868528868302116
id_61,43.00759934891258
id_62,12.530897029993431
id_63,50.83469004506644
id_64,13.15028283808287
id_65,14.854738595981013
id_66,11.985896660135259
id_67,-0.5623396106743594
id_68,43.90605850103688
id_69,33.17490945961813
id_70,20.855856676055783
id_71,38.83597721563106
id_72,57.057497213563494
id_73,6.013769064982241
id_74,18.155041578163754
id_75,7.904546755631692
id_76,37.214846592527515
id_77,14.958327552353303
id_78,24.375056459546567
id_79,22.339322376408127
id_80,23.89876809550685
id_81,38.42445379458122
id_82,23.259594698926506
id_83,91.13786780401497
id_84,36.26189351436015
id_85,26.855129137835096
id_86,23.948719446764947
id_87,32.39459670548433
id_88,25.35816015235732
id_89,21.65779033209342
id_90,31.822588421158148
id_91,41.97803578760996
id_92,3.824856197268088
id_93,36.98409072801351
id_94,46.335859575138876
id_95,16.376910089877757
id_96,34.10842182521593
id_97,12.969676511819873
id_98,24.847665357776354
id_99,3.6231208996212407
id_100,20.009776679656586
id_101,29.15436674087178
id_102,13.298530492571553
id_103,16.834182698908428
id_104,23.091262289421703
id_105,38.99527255914398
id_106,29.431677720688704
id_107,8.354886368915995
id_108,8.128777358954599
id_109,78.26139364273999
id_110,45.710283307949894
id_111,14.815164862023865
id_112,28.163072480214243
id_113,16.20904044472069
id_114,14.83352487720292
id_115,25.393915245883505
id_116,25.07128685341587
id_117,9.910633920169047
id_118,16.716942466243406
id_119,18.817604685155676
id_120,82.01654367610878
id_121,25.541072011919727
id_122,35.46559303931898
id_123,24.796673364200934
id_124,8.169749658695325
id_125,41.60072094435981
id_126,10.001051385030143
id_127,19.984301172888845
id_128,28.243717242830765
id_129,64.55368071317604
id_130,22.359445091484062
id_131,22.31742126865222
id_132,59.94938086300121
id_133,15.209835491950889
id_134,14.37418126884159
id_135,1.9080662554394365
id_136,11.695793253443169
id_137,59.76689449829482
id_138,18.151999945427395
id_139,6.47805851700049
id_140,26.316408602763683
id_141,25.47975252359315
id_142,44.47646697564855
id_143,29.937372691198387
id_144,17.20751063544501
id_145,25.454995909529575
id_146,10.736404903558169
id_147,52.3712280209058
id_148,21.60955147926304
id_149,39.73890255315873
id_150,9.699900085737017
id_151,8.066108276718245
id_152,24.36395302517119
id_153,7.2613307134041625
id_154,17.833552716331827
id_155,42.56540692120796
id_156,8.287905566128117
id_157,36.19346209099599
id_158,9.232714364025462
id_159,18.912216951747617
id_160,41.74117498170803
id_161,18.833595678374376
id_162,11.161023040223498
id_163,8.676378654196434
id_164,50.27633485361175
id_165,29.51915855075324
id_166,-0.6679903222361749
id_167,15.046651037936257
id_168,62.68012897730813
id_169,12.694759541048658
id_170,66.75238542946673
id_171,39.482556762239284
id_172,24.780399488000263
id_173,20.493604358311206
